continent,country,city,name,latitude,longitude,website,extra
AF,Algeria,Alger,KAP AGHROM,36.50322,1.23109,,
AF,Algeria,Alger,KAP IGHROM,36.50575,1.21574,,
AF,ET,Addis Ababa,አዋሽ ወይን,9.0134,38.72745,https://www.awashwines.com/,16;2;509;35;7;1;269;12;4;28;10
AF,ET,Addis Ababa,Awash Wine | Mekanisa | አዋሽ ወይን | መካኒሳ,8.97569,38.73343,,
AF,ET,Addis Ababa,Awash Wine Kality Distribution | Kality | አዋሽ ዋይን ቃሊቲ ማሰራጫ | ቃሊቲ,8.93563,38.76138,http://awashwines.com/,
AF,Ethiopia,Awash Valley,Awash Wine Vineyard,8.6135,39.71546,,
AF,MA,El Hajeb,Château Roslane,33.75981,-5.43942,http://roslaneboutiquehotel.com/,
AF,MA,El Hajeb,Château Roslane Wine Cellars,33.76151,-5.44064,,
AF,MA,Essaouira,Le Domaine du Val d'Argan,31.53706,-9.54456,,
AF,Morocco,Berkane,Coopérative Vinicole Des Béni Snassen (Vinicoop),34.93137,-2.32688,,
AF,Morocco,Berkane,Sté Vinicoop,34.93059,-2.32401,,
AF,Morocco,Rharb,Volubilia-Domaine de la Zouina,33.7102,-5.46172,http://domainezouina.com/,
AF,Morocco,Rharb,Domaine de Baccari,33.75896,-5.71973,http://domainedebaccari.com/,
AF,Morocco,Rharb,Domaine Viticole Du Sais Up 5106,33.7198,-5.45356,,
AF,Morocco,Rharb,Domaine Viticole Du Zayane,33.74688,-5.54013,,
AF,Morocco,Rharb,Domaine Annexe du Docteur Abdellah MOFID,33.9068,-5.66207,http://a.mofid.free.fr/,
AF,Morocco,Rharb,Sté Coopérative Vinicole D'Aït Souala (S.C.V.A.),33.89408,-5.54458,,
AF,Morocco,Rharb,Lieu dit zghari parc,33.77761,-5.52307,,
AF,Morocco,Rharb,Domaine du Docteur ABDELLAH MOFID,33.90608,-5.60999,http://a.mofid.free.fr/,
AF,Morocco,Rharb,Svcm,33.90116,-5.53941,,
AF,Morocco,Zaër,Les domaines Amal,33.75822,-6.61567,http://www.domainesamal.ma/,
AF,Morocco,Zenata,Caves Thalvin domaine des ouled thaleb,33.61879,-7.18831,,
AF,Morocco,Zenata,Domaine Ouled Thaleb,33.61873,-7.18879,,
AF,South Africa,Agter-Paarl,Perdeberg Cellar,-33.65813,18.82635,http://www.perdeberg.co.za/,
AF,South Africa,Agter-Paarl,Leeuwenkuil Family Vineyards,-33.66362,18.85124,http://www.leeuwenkuilfv.co.za/,
AF,South Africa,Agter-Paarl,Eenzaamheid Wines,-33.74771,18.8352,http://www.eenzaamheidwines.co.za/contact-us/,
AF,South Africa,Agter-Paarl,Black Pearl Wines,-33.73884,18.89257,http://www.blackpearlwines.com/,
AF,South Africa,Agterkliphoogte,Mountainview Vineyards,-33.96721,19.58445,https://mountainviewvineyards.com/,2;1;67;21;0;28;821;5
AF,South Africa,Agterkliphoogte,Windfall Wine Farm,-33.94306,19.64496,,
AF,South Africa,Ashton,Excelsior Wine Estate,-33.85539,20.00755,http://www.excelsior.co.za/,
AF,South Africa,Ashton,Ashton Winery,-33.83753,20.03096,http://www.ashtonwinery.com/,
AF,South Africa,Ashton,Kleinhoekkloof Wines,-33.78155,20.05399,http://www.kleinhoekkloof.co.za/,
AF,South Africa,Ashton,Zandvliet Wine Estate,-33.84676,20.03855,https://zandvliet.co.za/,2;20;134;7;67;4;507;0;28;10;5
AF,South Africa,Ashton,Arabella Wines,-33.84112,20.01052,http://www.arabellawines.com/,
AF,South Africa,Ashton,Running Stream Wines,-33.86007,20.12707,http://www.runningstream.co.za/,
AF,South Africa,Ashton,Wine Estate - Ashton Winery,-33.82511,20.05971,,
AF,South Africa,Bamboes Bay,Fryer's Cove Vineyard,-31.81631,18.23277,http://www.fryerscove.co.za/,
AF,South Africa,Banghoek,Tokara Wine Estate,-33.91807,18.92092,http://www.tokara.com/,
AF,South Africa,Banghoek,Rainbow's End Wine Estate,-33.93535,18.946,http://www.rainbowsend.co.za/,
AF,South Africa,Banghoek,Le Pommier Wine Estate,-33.91872,18.92873,http://www.lepommier.co.za/,
AF,South Africa,Banghoek,Zorgvliet Wine Estate,-33.91453,18.93552,http://www.zorgvlietwines.com/,
AF,South Africa,Banghoek,SilverKloof Estate,-33.91239,18.9406,,
AF,South Africa,Banghoek,Oldenburg Vineyards,-33.92945,18.94623,https://oldenburgvineyards.com/,6;2;7;1;4;0;28;61
AF,South Africa,Banghoek,MolenVliet Vineyards,-33.91344,18.94011,http://www.molenvliet.co.za/,
AF,South Africa,Banghoek,Delaire Graff Estate,-33.9203,18.92183,http://www.delaire.co.za/,
AF,South Africa,Banghoek,Bartinney Private Cellar,-33.92632,18.93242,http://www.bartinney.co.za/,
AF,South Africa,Blouvlei,Mont Du Toit Wines,-33.65772,19.02955,http://www.montdutoitwines.co.za/,
AF,South Africa,Blouvlei,Diemersfontein Wine & Country Estate,-33.66156,19.00699,http://www.diemersfontein.co.za/,
AF,South Africa,Blouvlei,Kruishof Wines,-33.64048,19.00966,http://kruishofwines.com/,
AF,South Africa,Blouvlei,Welgegund,-33.65875,19.03436,http://welgegund.co.za/,
AF,South Africa,Blouvlei,Upland Organic Estate,-33.66809,19.04274,http://www.organicwine.co.za/,
AF,South Africa,Blouvlei,Dynamic Wine Solutions,-33.64208,19.01163,http://dynamicwinesolutions.co.za/,
AF,South Africa,Blouvlei,Imbuko Wines,-33.67562,19.0219,http://www.imbuko.co.za/,
AF,South Africa,Bonnievale,Esona Boutique Wine Estate,-33.90449,20.01142,https://esona.co.za/,
AF,South Africa,Bonnievale,Silverthorn Wines,-33.93012,20.03096,http://www.silverthornwines.co.za/,
AF,South Africa,Bonnievale,Weltevrede Wine Estate,-33.94215,20.05198,http://weltevrede.com/,
AF,South Africa,Bonnievale,Bonnievale Wines,-33.95767,20.10178,https://bonnievalewines.co.za/,
AF,South Africa,Bonnievale,Arendsig Hand Crafted Wines,-33.9261,20.01393,http://www.arendsig.co.za/,
AF,South Africa,Bonnievale,Bushmanspad Estate,-33.89915,20.19668,http://www.bushmanspad.co.za/,
AF,South Africa,Bonnievale,Goedverwacht Wine Estate,-33.92067,20.0043,https://goedverwacht.co.za/,
AF,South Africa,Bonnievale,Lozarn Wines,-33.96719,20.13687,https://lozarn.co.za/,6;2;128;9;1;21;0;5
AF,South Africa,Bonnievale,RiverGold,-33.93094,20.01372,http://rivergold.co.za/,
AF,South Africa,Bonnievale,Cape Wine Crafters,-33.94186,20.05252,https://capewinecrafters.com/,3;2;1;4;0;50;10
AF,South Africa,Bonnievale,Lucerne Vineyards,-33.96803,20.13873,http://www.lozarn.co.za/,
AF,South Africa,Bonnievale,Langverwacht Wynmakery BPK,-33.9586,20.02636,http://www.langverwachtwines.co.za/,
AF,South Africa,Bonnievale,Van Zylshof Estate,-33.93858,20.10654,,
AF,South Africa,Bonnievale,Janeza Winery,-33.95975,20.02759,http://www.janeza.co.za/,
AF,South Africa,Bot River,Beaumont Wines,-34.22396,19.20653,http://www.beaumont.co.za/,
AF,South Africa,Bot River,Arcangeli Wines,-34.23535,19.20886,http://www.arcangeliwines.com/,
AF,South Africa,Bot River,Beaumont Family Wines,-34.22567,19.20712,http://www.beaumont.co.za/,
AF,South Africa,Bot River,Wildekrans Wine Estate,-34.24032,19.19853,http://www.wildekrans.com/,
