id,grape_name
0,Abbuoto
1,Abouriou
2,Acitana
3,Acolon
4,Ada Karasi
5,Affenthaler
6,Agiorgitiko
7,Aglianico
8,Aglianicone
9,Agua Santa
10,Aidani Mavro
11,Aladasturi
12,Albaranzeuli Nero
13,Albarossa
14,Aleatico
15,Aleksandrouli
16,Cape Grape
17,Alfrocheiro
18,Alicante Henri Bouschet
19,Allegro
20,Amaral
21,Ancellotta
22,Antey Magarachsky
23,Aramon Noir
24,Areni
25,Argaman
26,Argant
27,Arinarnoa
28,Arinto de Bucelas
29,Arnsburger
30,Arrouya
31,Ashughaji
32,Aspiran Bouschet
33,Aspiran Noir
34,Asuretuli Shavi
35,Aubun
36,Avanà
37,Avarengo
38,Avgoustiatis
39,Băbească Neagră
40,Babić
41,Bachet Noir
42,Baco Noir
43,Baga
44,Barbera
45,Barsaglina
46,Bastardo Magarachsky
47,Beaunoir
48,Béclan
49,Beichun
50,Bekari
51,Béquignol Noir
52,Biborkadarka
53,Black Queen
54,Blatina
55,Blauburger
56,Pinot Noir
57,Blauer Wildbacher
58,Blaufränkisch
59,Bobal
60,Boğazkere
61,Bombino Nero
62,Bonamico
63,Bonarda Piemontese
64,Bondola
65,Bondoletta
66,Bonvedro
67,Borba
68,Borracal
69,Bouchalès
70,Bourrisquou
71,Bouteillan Noir
72,Bovale Grande
73,Bovale Sardo
74,Bracciola Nera
75,Brachetto del Piemonte
76,Brancellao
77,Braquet Noir
78,Brugnola
79,Brujidera
80,Brun Argenté
81,Brun Fourca
82,Brunal
83,Brunello
84,Bubbierasco
85,Busuioaca de Bohotin
86,Caberinta
87,Cabernet Carbon
88,Cabernet Carol
89,Cabernet Colonjes
90,Cabernet Cortis
91,Cabernet Cubin
92,Cabernet Dorio
93,Cabernet Dorsa
94,Cabernet Franc
95,Cabernet Gernischt
96,Cabernet Jura
97,Cabernet Mitos
98,Cabernet Moravia
99,Cabernet Pfeffer
100,Cabernet Sauvignon
101,Cabernet Severny
102,Cabertin
103,Caddiu
104,Cagnulari
105,Caino Bravo
106,Caiño Tinto
107,Calabrese Nero
108,Calabrese di Montenuovo
109,Caladoc
110,Calandro
111,Calitor Noir
112,Çalkarası
113,Callet
114,Caloria
115,Camaraou Noir
116,Camarate
117,Camarese
118,Campbell Early
119,Canaiolo Nero
120,Canari Noir
121,Canina Nera
122,Cannamela
123,Carcajolo Nero
124,Caricagiola
125,Carignan
126,Carménère
127,Carmine
128,Carminoir
129,Carnelian
130,Carrasquin
131,Carricante
132,Casavecchia
133,Casculho
134,Casetta
135,Castagnara
136,Castelão
137,Castets
138,Castigliono
139,Catalanesca
140,Catanese Nero
141,Cavrara
142,Centesimino
143,Centurion
144,Cesanese
145,Cevat Kara
146,Chambourcin
147,Charbono
148,Chancellor
149,Charentsi
150,Chatus
151,Chelois
152,Chenanson
153,Chichaud
154,Chidiriotiko
155,Chisago
156,Chkhaveri
157,Chondromavro
158,Cianorie
159,Cienna
160,Ciliegiolo
161,Cinsaut
162,Colombana Nera
163,Cornalin See Rouge du Pays
164,Cornifesto
165,Corvina
166,Counoise
167,Croatina
168,Darnekuša
169,Dobričić
170,Dornfelder
171,Douce Noir
172,Douce Noire Grise
173,Dunkelfelder
174,Dureza
175,Durif
176,Ederena
177,Enfariné Noir
178,Espadeiro
179,Étraire
180,Ferrón
181,Fetească Neagră
182,Forcallat Tinta
183,Fortana
184,Frappato
185,Freisa
186,Frühroter Veltliner
187,Fumin
188,Gaglioppo
189,Gamashara
190,Gamay Noir
191,Gamaret
192,Garanoir
193,Grenache
194,Garró
195,Ġellewża
196,Girò
197,Gouget Noir
198,Graciano Tinto
199,Grand Noir de La Calmette
200,Grisa Nera
201,Greco Nero
202,Gropello
203,Grolleau
204,Gros Verdot
205,Gueuche Noir
206,Helfensteiner
207,Heroldrebe
208,Hondarribi Beltza
209,Humagne Rouge
210,Joubertin
211,Juan García
212,Jurancon Noir
213,Kadarka
214,Kakhet
215,Kalecik Karasi
216,Kindzmarauli
217,Kotsifali
218,Krasnostop Zolotovsky
219,Kratosija
220,Lacrima di Morro
221,Lagrein
222,Lambrusco
223,Liatiko
224,Limnio
225,Listan Negro
226,Loureira Tinta
227,Madrasa
228,Magarach Bastardo
229,Magaratch Ruby
230,Magliocco Canino
231,Magliocco Dolce
232,Magyarfrankos
233,Malbec
234,Malvasia di Schierano
235,Mammolo
236,Mandelaria
237,Mandolari
238,Manseng Noir
