region,winery_name,latitude,longitude,url
"Guaymallén, Argentina",Bodega Los Toneles,-32.8964,-68.81729,https://linktr.ee/Bodegalostoneles
"Guaymallén, Argentina",Bodegas y Viñedos Amadeo Marañon,-32.89653,-68.81472,http://bodegasmaranon.com.ar/
"Guaymallén, Argentina",Bodega Barberis,-32.86422,-68.75041,http://www.bodegabarberis.com/
"Guaymallén, Argentina",Mipser Bodega,-32.86522,-68.79126,
"Guaymallén, Argentina",BODEGA GASPARONI CARUSO,-32.85921,-68.7778,http://www.gasparonicaruso.com.ar/
"Guaymallén, Argentina",BODEGA FAMILIA GAROFOLI,-32.86222,-68.79011,
"Guaymallén, Argentina",Bodegas Santa Ana,-32.89201,-68.77605,
"Guaymallén, Argentina",Bodega Duret,-32.9516,-68.71352,http://bodegaduret.com/
"Guaymallén, Argentina",Vineria San Jose,-32.9026,-68.8069,
"Guaymallén, Argentina",Bodega Menegozzi,-32.90096,-68.8105,https://www.facebook.com/Bodega-Menegozzi-1889002604538882/
"Guaymallén, Argentina",Bodega RFM,-32.92845,-68.74211,http://www.bodegarfm.com.ar/
"Guaymallén, Argentina",Proemio Wines,-32.89359,-68.69049,http://www.proemiowines.com/
"Guaymallén, Argentina",Bodega CopiHnos,-32.90446,-68.73818,
"Cuyo, Argentina",Bodegas Chandon,-33.1384,-68.88938,https://www.chandon.com.ar/
"Cuyo, Argentina",Bodegas Norton,-33.08848,-68.88753,http://www.norton.com.ar/
"Cuyo, Argentina",Bodega Tierras Altas,-32.97993,-68.8467,http://www.familiavargasarizu.com/
"Cuyo, Argentina",Bodega Ruca Malen,-33.09436,-68.92903,http://www.bodegarucamalen.com/
"Cuyo, Argentina","Clos de Chacras, bodega y restaurante",-32.98255,-68.87669,http://www.closdechacras.com.ar/
"Cuyo, Argentina",Hacienda del Plata,-32.99295,-68.86328,http://www.haciendadelplata.com/
"Cuyo, Argentina",Bodega Roberto Bonfanti,-33.06175,-68.86645,http://www.vinosbonfanti.com.ar/
"Cuyo, Argentina",Bodega Vistalba,-33.03537,-68.91614,https://www.bodegavistalba.com/
"Cuyo, Argentina",Bodega Budeguer,-33.15176,-68.89232,http://www.bodegabudeguer.com/
"Cuyo, Argentina",Bodega Renacer,-33.06659,-68.90523,http://www.bodegarenacer.com.ar/
"Cuyo, Argentina",Pulenta Estate,-33.19629,-68.95602,http://www.pulentaestate.com/
"Cuyo, Argentina",Casarena Bodega y Viñedos,-33.06683,-68.88975,http://www.casarena.com/
"Cuyo, Argentina",Bodega Cruzat,-33.07509,-68.92421,http://www.bodegacruzat.com/
"Cuyo, Argentina",Bodega Kaiken,-33.04006,-68.93716,http://www.kaikenwines.com/
"Cuyo, Argentina",Alta Vista Wines,-33.00263,-68.87416,
"Cuyo, Argentina",Susana Balbo Wines,-33.11541,-68.9031,https://www.susanabalbowines.com.ar/
"Cuyo, Argentina",Lamadrid Estate Wines,-33.03636,-68.9646,http://www.lamadridwines.com/
"Cuyo, Argentina",Bodega Piattelli Vineyards,-33.17078,-68.91982,http://www.piattellivineyards.com/
"Cuyo, Argentina",Bodega Ojo de Agua,-33.13015,-68.96358,https://ojodeagua.global/
"Cuyo, Argentina",ANAIA WINES,-33.18143,-68.89093,http://anaiawines.com/
"Cuyo, Argentina",Bodega Zolo,-33.15638,-68.89595,http://www.tapiz.com.ar/
"Cuyo, Argentina",Finca La Anita,-33.17288,-68.91991,https://www.fincalaanita.com/
"Cuyo, Argentina",Dolium Bodega Subterranea,-33.14717,-68.88979,http://www.dolium.com/
"Cuyo, Argentina",Bodega Séptima,-33.09371,-68.94612,http://www.bodegaseptima.com/enoturismo
"Cuyo, Argentina",Bodega Quimera,-33.10495,-68.89753,https://www.achaval-ferrer.com/
"Cuyo, Argentina",Monte Quieto Bodega de Familia,-33.15402,-68.91908,http://www.montequieto.com/
"Cuyo, Argentina",Huarpe Wines,-33.1543,-68.89155,http://www.huarpewines.com.ar/
"Cuyo, Argentina",Catena Zapata,-33.16396,-68.91952,http://www.catenazapata.com/
"Cuyo, Argentina",Bodega Benegas,-33.00459,-68.85055,https://benegaswinery.com/
"Cuyo, Argentina",Bodega Pulmary - Vinos Orgánicos,-32.98766,-68.88405,http://www.pulmary.com.ar/
"Cuyo, Argentina",Bodega VIAMONTE,-33.02038,-68.88504,http://viamontewinery.com/
"Cuyo, Argentina",Carmine Granata Winery and Vineyards SA,-33.02116,-68.88085,http://www.bgacarminegranata.com.ar/
"Cuyo, Argentina",Carmelo Patti,-33.0148,-68.87088,https://www.bodegacarmelopatti.com/
"Cuyo, Argentina",BODEGA GIECO - Giorgio Gieco,-33.01873,-68.90885,http://www.bodegagieco.com/
"Cuyo, Argentina",Bodega Cánepa,-33.00195,-68.88793,https://www.bodegacanepa.com/
"Cuyo, Argentina",Bodega Luigi Bosca,-33.01957,-68.8731,http://luigibosca.com/
"Cuyo, Argentina",Miguel Minni Winery and Vineyards SA,-33.06161,-68.86685,https://bodegamiguelminni.com.ar/
"Cuyo, Argentina",Bodega Staphyle,-32.97527,-68.849,http://www.staphyle.com/
"Cuyo, Argentina",Bodega y Viñedos Dos Familias,-32.96586,-68.8515,
"Cuyo, Argentina",Viña Cobos,-33.09538,-68.92636,http://www.vinacobos.com/
"Cuyo, Argentina",Bodega Cabrini,-33.07505,-68.88456,https://www.cabrini.com.ar/
"Cuyo, Argentina",Bodega Achaval Ferrer,-33.05657,-68.91374,http://www.achaval-ferrer.com/
"Cuyo, Argentina",Bodega RJ Viñedos,-33.06495,-68.86725,http://www.rjvinedos.com/
"Cuyo, Argentina",Bodega Dante Robino,-33.05302,-68.87755,http://www.bodegadanterobino.com/
"Cuyo, Argentina",Bodega Wine Valley,-33.0724,-68.88503,
"Cuyo, Argentina",Bodega Matervini,-33.05846,-68.91249,http://www.matervini.com/
"Cuyo, Argentina",Bodega Sottano,-33.09509,-68.92443,http://www.bodegasottano.com/
"Cuyo, Argentina",Altieri Family Winery - Vinorum,-33.06758,-68.90156,http://www.vinorum.com.ar/
"Cuyo, Argentina",Bodega Lagarde,-33.02328,-68.87258,http://www.lagarde.com.ar/
"Cuyo, Argentina",Terrazas de los Andes,-33.08218,-68.89645,http://www.terrazasdelosandes.com.ar/
"Cuyo, Argentina",Bodega Alpamanta,-33.23541,-68.93349,https://alpamanta.com/
"Cuyo, Argentina",Bodega Mauricio Lorca - Autor de Vinos,-33.06704,-68.89643,http://www.bodegafosterlorca.com/
"Cuyo, Argentina",Belasco de Baquedano,-33.11828,-68.91677,https://wineobs.com.ar/winery/belasco-de-baquedano
"Cuyo, Argentina",BODEGA SUR DE LOS ANDES,-33.02492,-68.95246,
"Cuyo, Argentina",CAVAS DE WEINERT,-32.98359,-68.8599,http://bodegaweinert.com/en-index.html
"Cuyo, Argentina",Riccitelli Wines,-33.03084,-68.95733,https://matiasriccitelli.com/
"Cuyo, Argentina",Bodega de Espumantes Piedras 202,-32.96644,-68.87025,https://www.bodegapiedras202.com.ar/
"Cuyo, Argentina",CAVAS ROSSEL BOHER,-32.99447,-68.87815,https://www.rosellboher.com/
"Cuyo, Argentina",BODEGA AMALIA,-32.96911,-68.85429,http://amalia.com.ar/
"Cuyo, Argentina",Cantina Besares,-32.98083,-68.86573,
"Cuyo, Argentina",Bodega Krontiras,-33.06745,-68.84441,https://www.krontiraswines.com/
"Cuyo, Argentina",Bodega Caelum,-33.08957,-68.94331,
"Cuyo, Argentina",Bodega Bressia,-33.1091,-68.89794,http://www.bressiabodega.com/
"Cuyo, Argentina",Bodega Chakana,-33.17964,-68.91314,
"Cuyo, Argentina",Bodegas San Huberto,-33.0202,-68.90856,http://www.bodegassanhuberto.com.ar
"Cuyo, Argentina","Bodega Familia Adrover, Lujan de Cuyo, Mendoza",-33.05572,-68.88238,http://www.bodegaadrover.com/
"Cuyo, Argentina",DURIGUTTI FAMILY WINEMAKERS - FINCA VICTORIA,-33.02436,-68.95143,http://www.durigutti.com/
"Cuyo, Argentina",Bodega DE ANGELES Old Vines Vistalba Viña 1924,-33.03318,-68.8997,http://www.malbecdeangeles.com/
"Cuyo, Argentina",Bodega A16,-33.09176,-68.91442,http://www.a16sa.com.ar/
"Cuyo, Argentina",Finca Iral,-33.19504,-68.92777,https://fincairal.com/
"Cuyo, Argentina",Viña Doña Paula,-33.25117,-68.94094,http://www.donapaula.com/
